

========================================
Importieren gestartet am: 2026-02-14 18:21:31
========================================

OK: Patient 'Wolter, Andreas' importiert
OK: Patient 'Breum, Jenny' importiert
OK: Patient 'Neustädter, Christina ' importiert
OK: Patient 'Wacker, Eugen' importiert
OK: Patient 'Pusch, Werner' importiert
OK: Patient 'Altz, Gerhard HB' importiert
OK: Patient 'Weller, Liane' importiert
OK: Patient 'Bergs, Rebecca + HL' importiert
OK: Patient ' Tratz, Oli HB' importiert
OK: Patient 'Dr. Schüttenhelm, Wolfgang, KGG' importiert
OK: Patient 'Käsbach, Hans-Georg' importiert
OK: Patient 'Benninghoff, Margret' importiert
OK: Patient 'Wihsfeld, Monika' importiert
OK: Patient 'Schmidt, Andre' importiert
OK: Patient 'Kessemark, Ulrich' importiert
OK: Patient 'Bufe, Klaus' importiert
OK: Patient 'Bauer, Heike' importiert
OK: Patient 'D agnolo, Christiane' importiert
OK: Patient 'Karsten, Elise MTT' importiert
OK: Patient 'Schröder, Erika' importiert
OK: Patient 'Drepe-Weisshaupt, Lisa' importiert
OK: Patient 'Grümer, Gabriele Selbstzsahler' importiert
OK: Patient 'Ritter, Hans-Joachim' importiert
OK: Patient 'Hahn, Arno, Selbstzahler' importiert
OK: Patient 'Hardt, Christian Urlaub' importiert
OK: Patient 'Drepe-Weisshaupt, Lisa HB' importiert
OK: Patient 'Kochold, Karin' importiert
OK: Patient 'Schieron, Christoph' importiert
OK: Patient 'Saadani Urlaub' importiert
OK: Patient 'Ketterer, Martina' importiert
OK: Patient 'Nutsch, Kerstin' importiert
OK: Patient 'Fischdick, Wolfgang KGG' importiert
OK: Patient 'Weiß, Nicole' importiert
OK: Patient 'Kolpe, Udo' importiert
OK: Patient 'Goedermanns, Ursula' importiert
OK: Patient 'Carell, Cornelia' importiert
OK: Patient 'Pohl, Erika' importiert
OK: Patient 'Wacker nicht in BWO' importiert
OK: Patient 'Tessmann, Michael' importiert
OK: Patient 'Wagner, Petra' importiert
OK: Patient 'Wülferath, Sascha' importiert
OK: Patient 'Homberg, Stefanie' importiert
OK: Patient 'Giehl, Marina' importiert
OK: Patient 'Hoffmann, Ivonne ' importiert
OK: Patient 'Sewing, Heinrich HB ' importiert
OK: Patient 'Sudermann Alexander HB  zu Hause' importiert
OK: Patient 'Dreepe ,Lisa' importiert
OK: Patient 'Erger, Pia' importiert
OK: Patient 'Wülferath, Sascha Marco' importiert
OK: Patient 'Skrzek-Cwik, Monika' importiert
OK: Patient 'Reil, Kerstin' importiert
OK: Patient 'Baum NO' importiert
OK: Patient 'Fischer, Sven' importiert
OK: Patient 'Klaas, Irina' importiert
OK: Patient 'Koch, Uwe' importiert
OK: Patient 'Kleinjung, Daniel' importiert
OK: Patient 'Sandhose, Wilhelm-Jörg' importiert
OK: Patient 'Winkels, Rainer MTT' importiert
OK: Patient 'Koch, Wolfgang' importiert
OK: Patient 'Heinle, Waldemar ' importiert
OK: Patient 'Barnek, Billa ' importiert
OK: Patient 'Zimmermann, Stephanie' importiert
OK: Patient 'Nawrath, Waldemar' importiert
OK: Patient 'Schäfer, Barbara' importiert
OK: Patient 'Klaas, Konstantin' importiert
OK: Patient 'Werner, Joachim' importiert
OK: Patient 'Ammann, Sabine' importiert
OK: Patient 'Schmitt, Cornelia Gutschein' importiert
OK: Patient 'Junuschadt, Inge' importiert
OK: Patient 'Kaiser, Elisabeth' importiert
OK: Patient 'Schiller- Jacobi, Michaela' importiert
OK: Patient 'Kremer, Michael' importiert
OK: Patient 'Scheer, Britta' importiert
OK: Patient 'Sterzenbach, Achim' importiert
OK: Patient 'Steimel, Fabienne' importiert
OK: Patient 'Thieme, Joachim ' importiert
OK: Patient 'Hiltmann, Klaus' importiert
OK: Patient 'Klaas, Susanne' importiert
OK: Patient 'Pflitsch, Thomas' importiert
OK: Patient 'Erger, Karla' importiert
OK: Patient 'hB Hospitz' importiert
OK: Patient 'Klein, Steffi' importiert
OK: Patient 'Haas, Wolfram HB' importiert
OK: Patient 'Fischer, Sven + ET' importiert
OK: Patient 'Weichert, Andreas, Selbstzahler' importiert
OK: Patient 'Hospiz' importiert
OK: Patient 'Willmann, Sina' importiert
OK: Patient 'Gartenbau' importiert
OK: Patient 'Knierim, Peter' importiert
OK: Patient 'Stoffel, Inge HB' importiert
OK: Patient 'Gritsen, Anton' importiert
OK: Patient 'Zielinski, Stella' importiert
OK: Patient 'Zielke, Gabi Selbstz' importiert
OK: Patient 'Jovic, Rajko' importiert
OK: Patient 'Rothe, Gunnar' importiert
OK: Patient 'Sandhofe, Wilhelm- Jörg' importiert
OK: Patient 'Reuber, Elisabeth' importiert
OK: Patient 'Schwichtenberg, Karl-Heinz' importiert
OK: Patient 'Krawinkel, Charlotte' importiert
OK: Patient 'Roller,Henning' importiert
OK: Patient 'Loos, Valeri MTT' importiert
OK: Patient 'Seeger-Krenz, Britta' importiert
OK: Patient 'Degenhardt, Sabrina BWO ' importiert
OK: Patient 'Klein, Maya' importiert
OK: Patient 'Klein, Jessica Urlaub' importiert
OK: Patient 'Beerdigung Sabine' importiert
OK: Patient 'Klöckner, Karin' importiert
OK: Patient 'Büchner, Alex' importiert
OK: Patient 'Saadani, Rochdi' importiert
OK: Patient 'Nierstenhöfer, Karin' importiert
OK: Patient 'Wienand, Jörg Selbstzahler' importiert
OK: Patient 'Straub, Kornelia' importiert
OK: Patient 'Thiel, Natasha' importiert
OK: Patient 'Fynn' importiert
OK: Patient 'Schwichtenberg, Karl-Heinz HB' importiert
OK: Patient 'Leppin, Heidi' importiert
OK: Patient 'Lücke, Heidemarie' importiert
OK: Patient 'Leymann, Gerda' importiert
OK: Patient 'Petry, Sonja' importiert
OK: Patient 'Dr. Klöckner, Karin' importiert
OK: Patient 'Bunk, Angelika' importiert
OK: Patient 'Block, Jochen' importiert
OK: Patient 'Will, Daniel' importiert
OK: Patient 'Vasbender, Kornelia  MTT' importiert
OK: Patient 'Wacker, Eugen nicht da' importiert
OK: Patient 'Baum, Andreas' importiert
OK: Patient 'Lumpe , Vicky' importiert
OK: Patient 'Wellhöhner, Konstanze' importiert
OK: Patient 'Carell, Cornelia MTT' importiert
OK: Patient 'Büchner, Alex Urlaub' importiert
OK: Patient 'Grignard, Susanne' importiert
OK: Patient 'Wolflast, Jessica' importiert
OK: Patient 'opddata' importiert
OK: Patient 'Müller, Steffen' importiert
OK: Patient 'Vasbender, Christian ' importiert
OK: Patient 'HL- Vasbender' importiert
OK: Patient 'Callo, Isabelle' importiert
OK: Patient 'Kandzia, Damian' importiert
OK: Patient 'Alonia costa, Teresa' importiert
OK: Patient 'Kolodziej, Ralf' importiert
OK: Patient 'Sauter, Birgit' importiert
OK: Patient 'Müller, Natalie' importiert
OK: Patient 'Baum, Emil' importiert
OK: Patient 'König,Uwe' importiert
OK: Patient 'Nanko, Markus' importiert
OK: Patient 'Mertens, Ute' importiert
OK: Patient 'Hombitzer, Charlotte' importiert
OK: Patient 'Bauer, Stefanie' importiert
OK: Patient 'Schlosser, Eduard' importiert
OK: Patient 'Rübach, Björn' importiert
OK: Patient 'Gringard,Susannw' importiert
OK: Patient 'Thiele, Sandra' importiert
OK: Patient 'Wiedenhöft, Edith' importiert
OK: Patient 'Ludwig, Michael' importiert
OK: Patient 'anderer BWO Patient Jona' importiert
OK: Patient 'Eiling, Angelika HB' importiert
OK: Patient 'Kraus, Stefan' importiert
OK: Patient 'Smirnow, Katharina KGG' importiert
OK: Patient 'Weiss, Monika' importiert
OK: Patient 'Dannenberg, Heidrun' importiert
OK: Patient 'Scheer, Britta KGG' importiert
OK: Patient 'Lorenz, Gerlinde' importiert
OK: Patient 'Solbach, Werner' importiert
OK: Patient 'Hohnen,Sabrina' importiert
OK: Patient 'Krenz, Thomas' importiert
